title,view_count,word_count
2018大陸原創小說推薦I   有文章連結,191519,12025
耽美腐文BL小說閱讀書單-各種類型都有！還有五星推薦分享心得（陸續更新~5/31新增）,114582,15299
【表演】《夢幻舞馬》Cavalia卡瓦利亞劇團觀賞心得-優雅、融合自然、美與想像力的馬術芭蕾,33446,3212
[肉文作者推薦清單] 神說：要吃肉！ （2016.07.22更新）,1001143,13425
星期、月份英文縮寫,2553599,1123
甜寵原創言情小說推薦心得「現代篇」~陸續更新(1/4更新),344180,34411
"【總整理】這些年我看過的大陸原創小說 (列表) May 10, 2018",223082,15192
總裁的吃肉生活 (BL) 本篇高H慎入 （說好的福利文😙）,271290,4302
2018►原創小說×推薦書單  (6/2更新),37455,24646
【戲劇】台劇 1006的房客 人物介紹、分集劇情、心得分享 (1~26集),56806,19854
【推薦】我曾追過的陸劇們《古裝/現代/民初》,888967,17207
浴室激情(上),92653,702
夏季電費來囉!! 6/1-9/30的累進電費計算方式及如何節電、省錢大作戰!!,95533,3133
眼見為憑　連理枝　十,450,4028
當時的我們 [01.][長篇][BG.微虐.甜.H],45720,4275
言情小說心得,166628,25879
越愛越⋯之惡質的戀人_^腐堡 (BL小說 H文 18禁),59209,2493
小說║＊推薦＊看小說的網站(有發現好網站就會更新喔!),126536,748
［小推］走腎微走心，比期待中好看的NP肉文 「蘇桃的性福生活」 作者：沐沐,10557,1821
金銀保險套8(限),15150,1698
好看言情小說推薦《古代主僕戀系列》,64090,4353
如何自修學英文,594189,11213
[推薦]十大我最喜愛韓劇（下）,696022,3126
[展覽資訊] 107年 6月份與近期展覽資訊 ,926374,6727
分享Ipair愛情公寓約砲技,69170,1771
《俘虜》・下（拘束，道具ＰＬＡＹ，口交，木馬）,0,3731
BTS【防彈少年團果珍文】21+  高H 慾望公寓系列 春藥Play,14973,2470
原創小說心得 26/3/2018更,116747,37017
原創耽美小說《BL》工口肉文*閱讀清單,57485,399
《少爺》(一),200344,2267
【雙狐H文】為了H而H? 作者:H.S,42189,6912
無關情愛～１,154880,1763
故事║菩提本無樹,324422,2293
【我的幼稚總裁】(限)　　　　　　　　　　文章：星羽　編輯：紫蝶,68462,7914
郵局匯款教學文,734008,3437
她的一聲號令–欲求不止  (GL 百合向 SM 高H 虐身 限18 文),278554,2809
【小說整理】主題：先有性後有愛+春風一度文書單推薦,80162,6964
【閒聊】十二星座-雙子女攻略 內心世界大解析~超準。獵雙必讀~,17934,2137
大陸原創小說推薦 (2018/05/13更新),78348,16544
【Taeny】What Is Love？──13,78,5742
【整理】必看BG原創言情小說書單◔౪◔ 07/12更新,496562,10655
巧誘娘子《限》第三章,31758,5415
【BL】扭曲的禁斷愛（兄弟文年下攻）Ｈ,71792,6361
腐百合童話(BL+GL +高h  R18) 第一章 ,86607,3690
日語-日曆日期的唸法....做成表格了。,228827,1915
【BL】墮落天使（Ｈ）,96878,2298
2017 年度好書推薦書單,44691,13554
【DEMM】純H 30題.06 不碰性器官就射 (R18),84466,1605
爆笑暱稱 ,213267,4020
[有雷影評]電影─樓下的房客The Tenants Downstairs <人性的邪惡會傳染>,109377,2174
春藥 2　＜完＞（18禁　不喜勿入）,338803,4078
【瓶邪】總裁與天真──SM〈上〉,48113,3754
兩個禽獸上司Ep.210,24,1455
"☆白色情人節賀文☆《淫蕩醫生與俏護士》(BL)(R18,H) ",4403,3508
【柾泰】練習室play (H),14645,1565
生薑調教,26499,1229
［BL短篇］總裁與秘書,43223,2557
琅琊榜2風起長林：劇情簡介＆人物介紹＆分集劇情介紹(第1集到第50集大結局),320138,79453
《秦時麗人明月心》分集劇情+心得分享(第1-48集大結局劇情)迪麗熱巴、張彬彬、李泰、劉暢、張旋主演，原名《麗姬傳》，改編自作家溫世仁的遺著《秦時明月前傳》，張彬彬古代版霸氣總裁上線(劇照&文字劇情連載),175785,47759
妖怪公館的新房客——重逢番外篇（煤球妖 上）,473,12288
法語音樂劇《羅密歐與茱麗葉》：  節目冊與 “流行歌劇”,6724,3145
祝福用的英文,485361,16701
清洗洗衣機內部夾層污垢敎你免任何工具自己ＤＩＹ ,670720,5714
小櫻的故事(辦公室體罰),66776,9159
網賺是個騙局?什麼才是真正的網賺(新手必看),99329,7105
[隨筆]歐美圈3種常見架空設定,183343,7191
《Kill Me Heal Me》題外話，多重人格真實案例,0,5631
✿【戲劇】台視●週五偶像劇─前男友不是人●第1—3集(分集劇情、角色介紹、劇透心得),390,4590
辣椒的種植(趴免),278626,4264
這幾個是我以前看過最經典的鬼故事~~,22222,5309
【書單】快穿文推薦，快穿控快來!!!有棄文防雷!,18949,3981
七千單中英對照表,290939,110851
分享◎電影名句｜這些經典愛情電影佳句你還記得嗎....,78409,12372
[圍巾 / 泰珍][BTS] 吸引力計量法 ‧ 19,20,2793
膚淺 | 粉刺/油痘肌的粉底液,0,10622
『金豆腐』˙嘉義秀泰,12233,1808
