title,view_count,word_count
12星座日期表,8063827,333
置頂】2018年6月12星座生肖運勢懶人包(持續更新,65151,23202
【Susan Miller 蘇珊米勒】一週星座運勢6/4～6/10搶先看(雙譯版,3252,8453
【塔羅運勢分析】─我下週6/4-6/10的一週運勢是如何呢？,221,1530
塔羅牌占卜：我在愛情中的盲點是什麼,247,1182
【Eskey先生】一週星座運勢6/4～6/10,548,13857
常念『心經』的好處一定要知道！,184653,2450
處女座　男生　全面分析！,0,5383
超準的免費算命!!,694568,94
星座｜如果他有這些舉動，就表示他喜歡上妳了！,0,5762
【一個退休算命師的真實心聲，看完就知道該不該算命了…】,104188,4933
【塔羅占卜】你是會花錢失控的人嗎？,799,2169
每日星座運勢：2018年6月4日12星座整體運勢(下)：巨蟹.獅子.處女.天秤.天蠍.射手,315,213
1006的房客：劇情簡介＆人物介紹＆分集劇情＆觀劇心得（更新到第26集最終回）,45207,13546
史上最全面最細緻，天秤女的30個細節分析,110924,10174
雙魚座系列  之  雙魚座男人大解析／雙魚男適合的女性,504448,2990
因為太準　讓我從此不再算命,470628,3629
12星座之上升星座的算法【十二星座教學查詢】,917637,15367
2018/6/1【給光戰士的消息】,221,2630
星座│牡羊座的女人,411156,5694
靈機獨家 | 小孟老師12星座本週運程(06.04-06.10）,426,4900
雙子的性格，準到令人心痛！,307032,1972
雙魚座的缺點、優點、好準、如果你朋友是雙魚、請珍惜吧=),794267,3414
喜歡天蠍女的男生要注意,451153,2472
魔羯女心態 很準欸.... 0.0,644442,1676
十二星座~處女座終極完美分析,86508,2282
兇宅十五:高雄市鹽埕區新興街一四九號九龍大樓 時間:民國78年5月16日,38586,4683
小龜的翻書占卜目錄,132774,1631
《陰律無情》同性戀的歸宿  ——聯想大地獄 [A12D9hEx],1741,2053
牡羊男的個性 ,128006,2065
塔羅占卜♠他喜歡我嗎? （未交往）,402353,1647
[星座] 如何成為天蠍女的另一半-完全攻略,484309,2900
天秤男個性解析,67772,2120
&#127767;2018年12星座年度運勢（下） | Alex是大叔,7384,21710
150種居家風水常見的煞氣 和 化解方法,359589,15002
人類圖Human Design-塔羅占卜: 他喜歡我嗎?(未交往限定/ 非情人篇),55426,1001
【喵家塔羅運勢占卜】2018/6月份整體運勢提醒,0,3439
紫微斗數看你另一半的長相,24040,12173
教你第一次攻略雙子女就上手『相處篇』,353656,5990
塔羅占卜:目前這對象對你的想法是什麼？,49079,2217
攻心策獅子男篇 ,339744,2152
天秤女喜歡的男生,504558,939
"八字日柱算命,很準的",229828,19093
巨蟹男的101個特徵》21～30 ,20789,3386
水瓶女對喜歡的人會怎麼做,288581,1292
天主教與基督教的不同/區別,312294,6014
牡羊座的特質&(各日期出生牡羊特色),94747,12126
火星在12星座戀愛特性全解析&解決處理矛盾辦法,159699,13141
解冤咒+懺悔文-持誦及迴向方法 (轉貼),157005,4891
"【新】【基督】20180604译《生活是完整的,但不是完美的》",44,2804
【天使數字】 0～333含義,0,19290
生肖姓名學－生肖屬狗特性、喜忌及喜用字庫,65116,3284
般若波羅密多心經   (全文翻譯),727219,4658
用心瞭解天蠍，你會發現超多優點！,160744,959
希望你會更懂獅子,31330,5358
"卡陰處理DIY，收驚DIY../我能感應到磁場好壞，經過不乾淨的地方，頭會緊痛? /我聽到、感覺到好兄弟?/為何沾到不好的氣?/我的第六感常變真？/敏感體質能幫人做七嗎？/體質敏感,被無形陰氣干擾,感到不適,晚上沒辦法好好睡../很常做鬼魅惡夢,不然就是覺得一陣冷?/耳鳴？/靈被啟動，夢中常常被帶出去../敏感體質：聽到神明的聲音？/被晦氣干擾,容易不舒服的敏感體質,該怎麼辦../特殊體質,能感應到氣場或別人狀況../卡陰和精神病有辦法區別嗎?/如何不要卡陰../何時最容易吸引阿飄? /去參加法會、喪禮，保護自己的方法",0,7279
占卜時辰***眼皮占卜法***,43455,1675
塔羅占卜:2018『戀愛運勢』發展,42385,3982
12 The Hanged Man 吊人,123296,1601
愛的秘密在金星,119832,17709
自己的人類圖，自己看！！！,0,1140
〔小龜塔羅〕翻書占卜：我跟他有機會交往嗎？,191987,1942
女孩英文名字~涵義,258228,15726
一貫道 - 您可能不知道的事(一),83537,3882
人類圖Human Design-塔羅占卜: 他會找我嗎?(未交往/ 復合篇),42818,1401
龍血墨?淺談魔法墨水,192,1539
水瓶男對自己喜歡的女生，會有什麼表現？,323825,1535
【紫微】14顆主星看適合的職業,84991,3634
《懺悔三昧》把透支的福報找回來的方法——瞬間具足無量劫善根福德,158191,1276
佛教如來宗的妙禪師父是正?是邪? 請閱敝人淺見,368191,4109
海龜湯整理,31904,2213
MBTI 職業性格測試+結果分析,142855,11334
很準的心理測驗(只適合女生喔!),38543,3489
[線上占卜_心靈塔羅問戀愛感情] 他(她)對我到底是什麼感覺呢? [曖昧/戀人未滿/未交往版],9228,2630
如恩占卜/暗戀的他對你是甚麼感覺呢?(重新編寫),217946,4888
龍山寺開運命理街玄數人生【何謂帶天命】,70939,1381
[星座]另一個角度去認識水瓶座..,366600,6721
他/她現在心中有別人嗎(單身限定),79070,1676
生命數字 生命靈數 1~9的意義整理 + 九宮連線意義簡述,202733,7160
丁巳月(5/5-6/5)流月運勢,10691,7702
十二星座中英文名稱,164556,493
從金星直攻他的愛情死穴,59868,4255
般若波羅蜜多心經(注音/白話/手抄/桌面/下載),161549,112
IBM公司面試題。99％的人錯了，你能答對嗎？,99139,1960
你的金星和我的火星,46843,3500
生肖、歲次、年代歸類對照,829171,4924
住家風水 最忌外部衝煞 巧妙化解壁刀有撇步 ,103414,2232
[星座] 雙子和天蠍的愛情詛咒,126307,7283
