title,view_count,word_count
2018韓劇推薦必看．2018韓劇列表(線上看．人物劇情介紹．播出時間．OST/隨時更新),324604,9680
《那年花開月正圓》分集劇情+心得分享(第1-74集大結局劇情)孫儷、陳曉、何潤東、任重、胡杏兒主演，劇情角色演員介紹，孫儷繼《玉觀音》後再次攜手導演丁黑，挑戰演出女富商傳奇故事(劇照&文字劇情連載),923280,36290
2018韓劇☆上半年一覽表,420685,9238
Lemon／米津玄師 歌詞中文翻譯（日文+羅馬附）,159259,4360
阿嬌弘國的婚禮,10268,1355
溫暖的弦 分集劇情(第1-36集)大結局～張翰、張鈞甯-更新至第45集大結局,147923,41528
[心得]防彈少年團BTS 四週年FESTA整理,17308,3874
【韓劇】劇荒不怕！46部韓劇推薦給你，任君挑選總有你的菜 3/5更新 (數位未來 DFTV),54946,11103
[有雷簡評]電影─分裂Split <人腦的極限無法想像>,16699,2002
【開胃料理】涼拌小黃瓜，阿基師偷呷步，快速入味超簡單。,27985,1985
[韓劇] 只是相愛的關係,77356,1845
30部「值得一看」的好萊塢電影佳作！,2579913,2896
【為妳說的謊｜The Light Between Oceans】豈止於愛,31062,2687
{Movie} 2017年電影推薦清單III：下半年,281062,10962
[娛樂│電影] 2017電影回顧推薦清單─10部 動作/驚悚/懸疑/爽度 電影推薦,62640,4849
【有雷影評】《血觀音》一叢嬌豔卻萎糜的彼岸花,238651,3028
2018 M COUNTDOWN in TAIPEI(出演藝人/門票價錢/座位圖/售票日期時間/隨時更新),4051,585
【電影《鬼病院：靈異直播》──傻傻的，被玩了都不知道】介紹、心得分析、驚人細節整理,81349,4923
2017年韓劇《我男人的秘密》劇情介紹(宋昶儀、姜世貞),18012,1909
防彈少年團-FAKE LOVE 歌詞翻譯,18131,4509
【韓劇《漢摩拉比小姐》──世上哪裡都找不到的法官們來了！】劇情及角色介紹、預告、心得小評,7598,6201
溫暖的弦：劇情簡介＆人物介紹＆分集劇情（第1集到第47集最終回）,5958,69177
老阿腐的腐劇清單,25716,24421
"2018 05 28,真實之虛、太空無垠轉台,超女:跨性別角色,美劇綜合消息",965,2594
[影評]玩命直播/Nerve - 只要有心，人人都可以是統神,39929,3301
高塔公主：劇情簡介＆人物介紹＆分集劇情＆觀劇心得(更新到第九集),101770,5653
團體 / 防彈少年團(BTS/방탄소년단) 資料介紹 (180521更新),1177963,11291
