title,view_count,word_count
【1分鐘救命關鍵】肚子痛怎麼辦？先依腹痛的位置區分原因！,881986,2815
各國鞋子尺寸對照表,0,1422
副食品懶人包│50道寶寶粥食譜全收錄，簡單上手好營養,3368,10026
"痘痘告訴你,身體哪裏生病了",4038128,4354
女人在做愛時陰道裏的感覺,79972,2964
皮膚癢好難受 - 洗澡完癢、睡覺前癢、喝酒也癢,198145,3377
[分享] 懷孕初期的(正常)症狀,707889,5249
第一次買淘寶就上手！淘寶購物集運全教學（2018持續更新中）,0,12428
【桃園特賣會】童書只要39元、6本200元、運動鞋、童鞋2折起、麥坎納990元起、PLAYBOY內褲6件1000元、行李箱1200元起~中正藝文特區,2671,5631
汗皰疹VS香港腳傻傻分不清?,290512,3508
[ 全球轟動的韓國Toeot百變涼鞋。獨家全台首發團 ] 一雙涼鞋多種造型+繽紛顏色混搭。最適合媽咪們的無敵涼鞋就是這雙! 還有爸爸款跟小孩款喔,25582,6871
2017年臺灣內科醫學會發表高穩定藻褐素人體試驗結果,188,2815
膝蓋痛的簡易鑑別,1009419,2394
胸痛...不可輕忽的警訊!!,889995,3114
【女性】陰道炎與尿道發炎症狀 瞭解自己不再害怕看婦產科   ,918870,2173
【育兒】下載全民健保快易通APP，更換健保卡又快又方便！,236307,1855
女性下腹疼痛的原因,905532,2418
懷孕初期症狀、注意事項及自身經驗談,28276,3947
病毒性腸胃炎,688160,2381
史上最全醒酒解酒法　 　,150353,4727
準到頭皮發麻！清宮生男生女表(內有線上免費預測),198289,550
[親子旅遊懶人包]2018年大台北室內親子景點推薦～觀光工廠、親子餐廳、親子館、特色圖書館，豔陽天雨天一日遊最佳去處（含免費及捷運沿線景點）,437663,9051
如何區分「繭、雞眼、疣」?,0,1952
【中暑】中暑症狀‧中暑預防‧中暑急救處理‧消暑餐食譜‧中暑的中醫療方資訊,859679,7856
《夏日玩水趣》美國泳衣Snapper Rock 2018新款泳衣+美國Bling 2o兒童造型泳鏡現貨加預購團,4944,5127
尿完還想尿，一直尿不完!,75245,1901
【藥師瑄｜小兒高燒處理和藥物】小寶貝發高燒！體溫幾度是發燒？退燒藥的使用時機？藥師教你簡單、及時計算退燒藥用量！,59244,2430
【懷孕大小事】觀世音菩薩普門品全文+迴向文~完整唸法教學~難字注音加注~by辛西亞,770853,5247
【不可不知】關於嬰幼兒發燒,501960,6654
懷孕1~4週,230881,1340
【分享】2018結婚好日子│107年婚嫁吉日完整版,164218,6015
養貓新手上路（認養貓咪的觀念＆帶貓咪回家要注意的事＆貓咪的日常清潔與運動＆日常生活該怎麼照顧＆關於結扎這檔事＆貓咪生的什麼病？！）,578673,12170
幾度叫做發燒？,1040342,3875
口臭？喉嚨卡卡！小心是扁桃腺結石搞的鬼,388611,1167
臀部疼痛三類型，而你可以做什麼?,194616,2563
【飲食研究室】防彈飲食  第一步《防彈咖啡》 ─ 比例及製作方法,281968,6230
你會量血壓嗎？！收縮壓、舒張壓多少才算是正常？！,462489,1306
感冒喉嚨痛小偏方  +  厲害的鹹檸檬,1309528,5301
♛ 2018媽媽手冊換贈品(2018/6/1更新，共289樣),521773,5010
【發奶、退奶、塞奶】食物功效大解密,124544,3373
小孩半夜尖叫大哭中邪了嗎?? 不!!! 原來是【夜驚】搞的鬼!!!,114969,2379
『瘦大腿保證班』快來敲膽經跟刮肝經！！！,1561321,1610
懷孕初期症狀&懷孕初期注意事項,2242772,1891
【念珠菌或細菌感染】私密處發癢、臭、疹、腫與破皮處理,241339,2335
毛孔角化症 Keratosis pilaris ,218513,3318
【育兒】2018最新/最完整的不NG待產包清單 · 爸爸也能輕鬆找到指定物品 · 以全母乳為目標的細節控  · 自然產＆無痛分娩 ＠ 淡水馬偕醫院產檢/生產,104371,14375
【好孕】月經沒有來，懷孕初期徵兆，如何判別？,1180761,1744
<足知識> 蹠痛Metatarsalgia，前腳掌痛---容易被誤認為足底筋膜炎的痛,0,3161
【單位換算】公斤、斤、磅、克、錢、兩、盎司 ,418651,220
狗狗年齡V.S.人類年齡（換算／對照表）x 4,298613,2084
[Shiba]柴犬和秋田怎麼分？,397198,1548
「獨角仙怎麼養」淺談兜蟲飼養與繁殖,161987,4689
[塑身] 每天５分鐘 胸部真的upup ♥ 美胸按摩教學,587905,2263
教你結婚祝賀詞!!,591944,8612
讓人無法不分享的【史上最準星座透析！】,131634,50197
[親子民宿。花蓮] 山丘洋房 Bunny Hill～夢幻玻璃屋決明子沙坑 x 觀星閣樓溜滑梯房 x 高雅歐風空間 x 五星級豪華設備 x 愛孩子的親切民宿主人～讓全家人都開心滿足高質感親子民宿,11839,6999
一隻貓的花費要多少錢？養貓前一定要想清楚的費用！,74162,3105
檸檬水6大好處?!檸檬水怎麼喝?不宜久放、帶皮切片營養最多..,30009,1690
"這條藥膏我抹的很有效,你拿去用!!",128028,2019
小小傷口要你命--蜂窩性組織炎,552445,2334
菸甲蟲,65109,1489
*燒了又退，退了又燒! 惱人發燒該怎麼辦?,134913,2959
分享♥除疤好幫手!!!【MEDERMA 美德】除疤凝膠 ,602596,1531
【請假懶人包】從產檢假/安胎假/陪產假/產假到育嬰假的天數與薪資總整理，別讓權益睡著囉!,462823,6758
車參聖整形之-黑眼圈~眼袋~淚溝 三兄弟哥倆好,212431,16721
化痰止咳的食療方法,699469,4511
涼拌小黃瓜【阿基師爆好吃版】,708562,661
腹痛位置與所對應的器官問題,200857,2780
常被誤以為黴菌感染的外陰前庭炎,126592,2595
健康知識：７招解夢技巧，擺脫惡夢好好睡一覺！,58084,5785
月經拖很久，停不了怎麼瓣><!!談功能性子宮出血,458863,6071
美體經絡老師與益膚乳霜的美麗邂逅,132958,1942
[育兒] 11M20D之玫瑰疹的逆襲～反覆發燒到大爆疹惡夢全記錄！,125089,4467
不誇張! 一口氣❤ 狠甩身材35公斤! 超人氣網紅『關韶文』心路分享!,15897,3673
減肥藥：減肥狂人70種減肥藥試用報告,146540,3576
