title,view_count,word_count
"【鐵路特考】2018/107台鐵考試增額報，共招考1,693人創五年新高！加開台鐵營運人員招考954人！｜台鐵考試時間、鐵路局招考、鐵路局考試",298364,8415
三明治女孩的逆襲：劇情簡介＆人物介紹＆分集劇情＆觀劇心得（更新到第八集）,27892,11750
2018年各大銀行定存利率比較表 (最高1.30%，6/1更新),121605,21038
燙傷急救教學~6大原則，兩週復原！ 不留疤術! ,735495,4663
106國中會考-基北區會考各高中預估錄取門檻,454526,1326
75句經典語錄讓你明白人生道理,675744,4030
2018/107轉學考(暑假轉學考) | 大學轉學考簡章/科大轉學考簡章(報名日期/考試時間/放榜日期/補習班),80248,5208
"【鐵路特考】107/2018台鐵招考1,693名，7月再招考953名營運人員！-最新簡章/考試/報名資訊",359498,3088
體育娛樂：6月4日國內活動預告,113,427
"[航空]2018空服員招考,空姐/地勤招考(最新考訊)",1107687,18539
翻牆的記憶：劇情簡介＆人物介紹＆分集劇情(更新到第14集),13773,6956
107年國中會考[基北區]高中入學預估積分落點/各區明星高中落點預測,179020,2948
【一般警察特考】2018/107年 - 簡章公布，大招2467人 (含簡章/資格/科目/錄取率/薪資),147578,9732
131個笑話，笑個夠﹗,107621,12789
【留學】Chill才當道 美國人最推崇的一種生活態度 ,245114,5314
[網拍教學]創業第一步?網拍怎麼開始?,357180,6553
國營事業招考-2018/107國營事業聯招招考867人，10/28考試，大學畢業就能月領35k！(台電、中油、台糖、台水),382797,4284
牛排幾分熟的英文要怎麼說？,410362,585
『6年期儲蓄險 』PK 『 銀行定存』，報酬率總檢視,28211,10934
106國中會考-中區高中錄取門檻落點預估,120344,980
【2018/107學測】106學年度大學個人申請入學招生 各校系篩選標準一覽表,791891,2074
"畢業時送花束,花語不ＮＧ,挑畢業花束花語表心意,畢業花束花語大不同！畢業送花小撇步,畢業花束超低價$500↑",4759,1393
[工作回憶] 很不舒服的工作面試,130231,2867
【電腦維修】開機有電源反應，但沒有畫面。(品牌電腦+獨顯),322651,1726
百句吵架英語(實用英文大全),216586,3945
