title,view_count,word_count
2018年(民國107年)人事行政局行事曆_連續休假的請假攻略！107年農曆春節年假,1900607,2767
【統一發票中獎號碼2018年3-4月】含107年特別獎中獎清冊（祝中大獎!!!）,329917,2213
【忠孝特賣會】只有12天！瑪登瑪朵內衣2件399元、丁字褲3件99元、凱普頓時尚童裝150元起，還有CK香水、義大利INSIGHT洗髮精、鍋具、氣泡水機~捷運忠孝敦化附近/賀凱國際,2489,5452
2017㊙特殊符號、各類符號表→✿❤★☺✔℃▼♈◉①ⓐ㋐❝￥(2018.5.6更新),898150,6291
【讓自己更好 學習態度教會我的一堂課】,7056,1613
桃園區最後一檔！！ＫＡＰＰＡ結束代理特賣會！萬件服飾下殺２折起！滿５件再打九折！,5027,345
2018苗栗高山青農場繡球花季》2018高山青繡球花開了 絕美夢幻的繡球花大道令人陶醉 來南庄尋找那初夏的浪漫吧! 【旅人狂潮@玩拍札記】,40630,1191
[日本] 2018日本必買美妝、零食、伴手禮、生活用品♥愛用回購大推薦,279124,9596
[新北泰山] 拍手童裝開倉廠拍，上衣全面50元、正版授權卡通明星圖T99元，全面可刷卡！,13620,2800
如何知道Line被封鎖? 30秒立即破解彼此間的感情!（2017.9.6新增IG）,844161,4222
新聞-她買2折機票飛北海道　淡旺季搶票絕招公開,0,1377
我家沒蟑螂-消滅蟑螂的五種方法-還你美好的環境品質,337681,4860
【星座】金牛座的分析！呃…有準到！,0,6749
【2018.05.03更新全台生日優惠懶人包】生日我最大　壽星好康優惠情報讚(全台食衣住行育樂壽星優惠-生日免費/生日半價/生日招待/生日折價)動,535105,53328
▌6/12法拍屋｜新北市新北市中和區景新街233之2號<景安捷運站><低總價>,643,1633
107年度低收入戶、中低收入戶審核標準,174777,224
[網購心得] 北海道賞花之5天穿搭分享/DOBE、Mayumi、LOVFEE等,1682,5716
2018基隆阿瘦皮鞋年度特賣會，萬雙鞋款990元起，首三日第二雙折400，法國專櫃品牌服飾結束代理撤台出清，只有10天！,15191,4461
【板橋特賣會】2018皮老闆特賣會-Superdry極度乾燥短T5折、ROOTS、CK特價再85折、LEVI'S牛仔褲、美國服飾品牌特價再九折、萬國行李箱特賣｜近捷運府中站,1441,4512
股東會贈品各地代換處的地點及電話 2018.05.28,196000,24505
"""一點絕""殺蟑藥使用效果分享/家有嬰幼兒的""施打""注意事項~",335012,5597
大家都在瘋狂下載這款App，因為它可以讓你免費離線聽音樂,155547,3160
全家代收繳費抽獎活動~107/5/22,12057,213
信用卡》2018年現金回饋卡推薦比較TOP 11＋選卡攻略（0506更新）,850679,7725
"[調查數據]台灣人平均陰莖長度10.5公分,剛果最長,韓國人最短?鄉民的30公分?",638493,3433
[娛樂│韓劇] 2018首波韓劇推薦清單─5部一定要看的韓劇！,281590,2237
2018.六月份免費索取試用品2018.06.3更新,16584,16581
『敦北水哥特賣會』NIKE、adidas、Brooks、亞瑟士、美津濃運動鞋4-6折。GORE-TEX慢跑健行鞋款。登山品牌MERRELL (GORE-TEX)6折、keen4折出清。NB4折。converse鞋款服飾3.5-5折。童鞋$490-$990。,21385,4632
【2018十大移動式冷氣推薦】移動式空調評價、優缺點，推薦給你！,18956,3724
家電│這台冷氣太省電! 一秒搞懂省電冷氣!,43744,2682
台灣國寶-經典語錄收集七 撩哥 撩女搭訕語錄金句,29507,5205
如何知道 Line 被封鎖,456073,1970
戒指的國際標準戴法,521425,2493
2018年壽星生日優惠/生日免費【壽星免費 壽星優惠 壽星五折】，吃到飽.餐廳慶生任你選～生日我最大！（2018年2月更新）,402916,5842
【教學】如何使用蝦皮拍賣(如何寄件7-11版),436970,3441
[減肥] 享樂減肥法 終於瘦了9公斤!!!!!! (概念篇),469540,5794
