title,view_count,word_count
前男友不是人：劇情簡介＆人物介紹＆分集劇情＆分集劇情＆觀劇心得（更新到第三集）,71715,7970
很短，很文藝，很唯美的英文！,909334,70890
瘋狂減肥法!1個月瘦21KG,161703,8997
2018 手工皂職業級 計算網頁,2038,318
男生喜歡上女生的幾項表徵,829225,1698
【日誌】折騰一個月的毛囊炎(內有化膿圖片慎入),203790,2001
雙子男在想什麼?,428510,4952
完全消滅蟑螂的七種方法,606959,2520
台灣喪禮禮俗禁忌,286950,2912
台視八大《前男友不是人》分集劇情第1-13集最終回，藍正龍、楊丞琳、路斯明、李杏主演，劇情角色演員介紹，原劇名為《前男友是鬼》，楊丞琳繼植劇場《荼蘼》後，又一高質感的作品，接檔我的男孩(預告&17分鐘片花),22552,6031
她其實並不喜歡你：好男人請學習讀懂女性的正確訊息,563389,7927
如何抓住蠍男,412297,3197
緯來自製電視電影《海吉拉》許光漢、姚愛寗、林意箴主演，劇情角色演員介紹，姚愛甯在劇中大玩「變性」，不僅愛上初戀男友、變性後更愛上閨密，6月10日晚上9:00在緯來電影台63首播(劇照&前導預告),775,1731
國軍各式服裝內容穿著及佩帶實施規定,1929,23
言情小說推薦3,27823,10348
每天15分鐘|核心肌群|曲線變好的4種動作|7分鐘的高強度循環訓練,257098,3816
【瘦臉】O臉→V臉 夏天來前還我巴掌臉 瘦臉必看,355297,3695
【塔羅占卜】他會是你未來的戀人嗎？,36966,1997
"男人有以下幾點,是永遠交不到女友!是永遠娶不到老婆!",249267,15412
2018 守護天使給予愛情的祝福指引06/01-06/15,1631,2372
我的成功復合經驗與復合後相處注意事項（20141126編修）,464529,4194
痔瘡手術~不痛不要開~,122495,7399
[吉] #330 周杰倫 - 不愛我就拉倒,4058,121
三天成功戒斷夜奶與親餵！十大原則報您知！,152172,8669
【補】電視大人－公視－「阿爸的靈魂之旅」。　365-266,5734,1459
分離式冷氣清潔DIY(準職業作法),245909,2449
{夜生活}夜店穿搭全攻略 男!!,343057,3244
【感情】分手後想復合，該刪掉或封鎖對方的LINE、FB等社群軟體嗎？,172271,4033
是淡了？還是不愛了？,115104,1811
