title,view_count,word_count
好看的少女愛情漫畫推薦（一）,486866,4772
[開度] 茶水間激情 (高H慎入),116149,2985
都是誤食惹的禍(2) 【4人 X 悠然】R18,332,1704
"《醫生與病人》3 (BL)(R18,H)",12347,3594
議員的女兒：陳沂,23521,16493
GL小說短篇 Captive-結 (18禁，過激H，慎入),402205,7050
破病阿姨,4220,841
三生三世十里桃花：劇情簡介＆人物介紹＆分集劇情介紹（第1集到第58集最終回）,289270,76788
「電腦網路」連線正常卻無法上網,724602,1966
《愛逃跑的小奴隸》BL 高H慎入,51972,9497
別被星座書的男射手騙了,121617,1663
手機不見時該怎麼辦~【善用你的Google定位追蹤。Android裝置管理員】,111056,4942
TaeNy- Beauty and the Beast (泰尼版本) (上),450,7659
【我的英雄學院同人/短篇】蜜酒。(轟出H),8591,4558
十部少女漫畫推薦清單 之一,35198,3024
愛的費洛蒙。  -  第六章,0,2843
[不負責任推薦] 快穿小說看過來,12913,17674
好看BL漫畫推薦～喜歡BL漫畫的人再進來看文章,128968,3801
【手工藝】✿畢業花束製作-手作花束♥♥♥♥♥娃娃花束教學✿,6028,2596
《TATTOO》關於我的刺青還有我推薦的刺青師，刺青對我來說是回憶還有紀念。(不定期更新）,27457,5892
最懂我 -紗瑜-,28,2619
獵人同人推薦,18360,26148
196 [ 我跟你說喔 ]　完全考機車駕照指南,553141,4385
【防彈BG / H】鄭號錫_練習室play,14979,5330
女性向情慾小說-演員 第二十六章,135,1729
手作 。 [ 橘子相約 ]  親子散步小提包,3554,294
12生肖適合哪一種房屋坐向？,158025,525
【解決】使用Google Chrome瀏覽器開啟網頁時，出現「這個網頁無法使用」該怎麼辦？,272629,972
早安圖,10723,148
真的不可以侵犯你嗎、BOSS？（三）（H）,55181,5252
[教學]走吧~來去超商買LINE貼圖 7-11 ibon篇！LINE指定卡儲值教學送限量貼圖！,1131550,1803
樂府詩、古詩與近體詩之比較 ,61454,721
LINE - 付費貼圖購買教學/LINE點數卡購買(7-11 ibon篇),124715,3520
佔有慾（短篇純肉慎入）（兄弟年上 人格分裂 智能不足設定 年齡差萌萌噠）,1856,3190
-貓睡覺的位置有各種涵義-,69348,460
1111 單身公害 ch. 9,224,3150
盧恩符文的個別意義 ,100539,6665
BL漫整理+推薦 & 欣賞漫畫家【第三彈】,162366,4816
《罪犯》（國旻、乳環play、重口肉文）,0,3078
解夢系列 吃/食物,118316,8955
APP｜關於手機修圖調色超實用不私藏教學,60316,1825
014蝦餌,49913,7082
【法國之美】時空凝結在中世紀的老里昂，原來迷路也是種享受 !,70,4270
化貓モノノ怪同人本《薰香》 ,1948,1565
[wenrene/粉藍] 小綿羊變大野狼 -R18-,7379,2935
。日常誌。一切都是從一個膿包開始的……,67116,1287
婚禮習俗~沖喜禁忌,75206,952
[短篇特映] 洗澡 (限制級),32521,5815
那一根毛 # 3：限制級小說18歲禁！社會男女婚外情小三不倫激情色愛情奇情偷情連載原創投稿文章！BY UNOLIN！,2349,1754
G子減肥漫畫-從60公斤瘦到50公斤-飲食控制1(減肥對比照片+變胖歷史),32213,2262
[教學] 解除取消 LINE帳號裏綁定的電話號碼 移除LINE電話號碼 (進入LINE裏看不到他國貼圖),402789,1322
<糖雞>__罪愛   ABO文   H文 ※不喜勿入,14514,3720
【BTS-糖雞】惡魔的懲罰 [激H 慎入 18+],58667,3156
【idolish7× 環壯45】花開堪折直須折  H,223,12540
如何真正有效率的學習電繪? (上) - 方法篇,48009,8144
多肉植物的施肥,11442,18896
R18 文豪野犬 【太中】拷問 有肉慎 上h,22357,1822
【離婚】丈夫/妻子很久不回家，是否自動離婚了呢？,0,957
防彈BG 情趣（慎入）,14729,2558
