title,view_count,word_count
各家證券商手續費(2018.05.22更新),1146753,4943
2017年及2018年首季獲利均保持成長且高股息殖利率低本益比的穩定配息股有那些？(本文開放閱讀4小時後，限部落格好友閱讀),204,364
2018年各大銀行房屋貸款利率比較表(最低1.44%)(6/1更新),270521,15953
Ok 【口袋期權】【掌上交易】【口袋交易】APP入門玩法,4132,222
【EXCEL學習】EXCEL最佳學習方法 (引用ExcelHome網站文章),68483,5969
2018年各銀行主要房屋貸款方案利率表,930143,3788
雅格瑞體壇對沖平台(穩定獲利>>長期投資>>低風險>>英國合法公司),39447,4229
分析給你看 網路上最紅的美安12大缺陷,313156,4890
賺錢的秘密,325370,10527
信用卡》2018年刷卡加油優惠推薦比較(人工自助加油),335152,5880
股市新手入門: 股票如何買賣及算法 (問答)...更新於2017.08.09,328823,12817
2018年軍民聯合防空(萬安演習)，中部地區這時間別出門！,0,1247
4口訣聰明選購省錢冷氣,119766,2702
自己申請營業登記,100850,704
【離婚】扶養費&贍養費爭取必知,0,2070
儲蓄險的種類之你適合哪一種（增額型、還本型、利變型），以六年期為例,54449,6500
蘇貞昌是大台奸蘇雲英的孫子,15700,8038
【牛分享】你也注意到了嗎？全球九大金融風險事件簿,277,950
【法律學堂】民事訴訟之程序/流程,0,1334
【生活消費】王道銀行簽帳卡/金融卡+信用卡，不用財力證明也能辦 ▋刷卡回饋國內1.5%國外2.3%無上限  ▋→ 用艾比連結送500元，另享8次跨轉跨提免手續費,51809,3431
什麼是印鑑證明？該怎麼申請？,397657,883
艾維尼預測90度轉彎穿破台灣,273,565
"辰華法律事務所:::毀謗罪,公然侮辱罪構成要件",550482,1199
藍血人別再獨裁 張大眼看64坦克壓人肉餅.去繁書簡的未來,39327,7640
黑傑克/李挺生胃癌，癌細胞轉移至腦部病逝(好快…)(55歲…)(2014年Jerry張漢傑也是突然就走了…),135,4352
福貓挖寶網是什麼？Q&A 福貓新聞(懶人包)//2018年4月更新,21431,9399
台大的搖籃  全國前30強明星高中出爐,197705,4105
MBI詳細介紹,42823,1663
保險公司不會告訴你的8大理賠申請技巧 ,233526,2923
【小梅的成長之路】Alex 實戰銷售技巧,129,1655
想到上海工作嗎？,172991,2430
選擇權搖錢樹  20180604 看盤日記   雙BUY 兩邊押寶,46,737
穿過谷底，就是奮起，張忠謀人生啟示錄,0,656
Atomy 艾多美直銷獎金制度如何? 產品評價好嗎? 一次看清楚!!,26931,1578
我不會買的保險「殘扶險」(殘廢扶助險),67226,2337
6個訣竅教你跟銀行談出好利率,65774,4084
我是繼承人嗎？可繼承多少遺產？,140045,1900
台灣人不是中國人（五） － 黃帝不是人,2130,1300
有薪就能買》訂簽開29萬～我29歲  我買【大悦】！,1456,1769
勤益公司6年來的轉型紀錄與重要年報分析，老闆有說到做到嗎?,487,3899
下週盤勢分析 06/04 - 06/08,61,2144
我對終身醫療的批評,257796,2342
當沖高手陳信宏10大心法首度曝光,84163,4220
我曾是銀行行員，發人深省,282314,9017
遺產的計算,225991,2831
[轉貼]3檔高股息 養我一輩子(中鋼、台橡、超豐),85714,4463
美金儲蓄險IRR之王歸來!新光人壽美旺福外幣利率變動型終身壽險,2827,6655
什麼是 西聯匯款？(收款方法),55029,3516
申請使用信用卡做點功課吧，我不想再變成卡奴！（靈活運用刷卡篇）,410111,8286
融資融券的規則,115801,3292
"貨不要屯倉庫，囤貨就是壓力!網拍女王實踐進階5班""甜心時尚館""批貨免囤貨神奇經驗分享",23905,1854
有關匯率 外幣帳戶領現金 划算嗎?,272514,6023
21點算牌教學-第1課 (基本策略),286459,2105
[新聞] 何麥枒性愛片流出 (懶人包),9242,612
◆ 9941裕融_看懂裕融合併營收細項與各子公司的關聯  2018.06.03,67,1572
過去50年黃金價格走勢圖與大事記,0,1492
"最新股票股東會紀念品贈品領取一覽表 掌握代領,最後買進日,零股是否寄單,怎麼領資訊",213153,38401
★adidas和PUMA逾半世紀的仇恨，因為改名… 達斯勒 (Dassler)家族兄弟翻臉【2009/09/19 聯合報】,5308,1779
白癡才會拒絕婚前性行為,39796,2221
5G產業大成長：穩懋(3105)全新(2455)環宇(4991)中磊(5388)昇達科(3491),2070,457
三國時代，真的有空城計嗎？,25754,2737
(台股筆記)10檔「3好定存股」！最適合每個月花3千元「定期定額」買股票的人,60281,2827
申請外籍看護七大步驟好簡單！,20921,1918
如何辦理繼承申報流程備忘,358953,8474
偵查庭或詢問通知,0,4155
十六種翻多重要型態,0,3825
安聯收益成長基金高配息解密,34107,3073
《聰明破解》星巴克隨行卡回饋新制度-星禮程會員,96803,2071
中小企業主老闆們您的(商業火險+公共意外責任險+雇主責任險)已投保好嗎?額度足夠嗎?,4440,6569
