title,view_count,word_count
【姐妹淘】肚子為什麼消不掉 ? 別再仰臥起坐了 !,367462,2347
開箱*【良實糧食/豬背上的奶酪】全台瘋狂の辦公室殺手等級嚼食系必吃の無色素添加豬肉條,6349,1827
【世界盃】2018世界盃32強:德國隊陣容,7330,1405
2018年6月網路購物折價券、現金券、優惠券、回饋金、Ecoupon序號優惠總表-博客來曬書圖書雜誌MOOK 49元起滿千送100,0,2771
[減肥] 月經週期減肥法♥我靠這個方法健康的瘦了17kg,731044,3819
運動後肌肉酸痛怎麼辦？,477931,2311
2018冷氣評比最新推薦【能源效率第1級】,100258,929
【觀念】我要退錢！花了那麼多錢跟健身教練上課，結果教那什麼東西？,119632,2530
祥祐的健身歷程(學員分享),5190,1528
桃園八德【詠興皮件.樂扣樂扣】台灣總代理/工廠直營廠拍/行李箱600元起/防爆防盗拉鍊超低特價999/消費滿千抽機票/樂扣產品39元起/紀念版玻璃保鮮盒系列買一送一,41679,3230
World Gym收費【入會手續費及月繳會費】相關問題,98074,1427
[評測篇] 市售體脂計(TANITA/OMRON) vs Inbody測量結果公開,108147,1857
[女生重訓] 不專業心得分享：圓背、烏龜脖的改善方式。,132623,6351
如何玩運動彩券－穩贏教學,155677,2995
【新加坡必買】平價精品 Charles & Keith / 小CK - 戰利品開箱！,260782,414
1分鐘【骨盆矯正體操】屁股立刻小一吋，跟O型腿說掰掰,143459,1915
(青少棒)107年華南金控盃15U青少棒賽6/2-10 @嘉義縣、台體大、天母,3031,10505
美安走一回,390607,10297
原來游泳才是消耗最多卡路里的運動！,192228,2922
【DXY丁小羽健身篇】破解迷思！為什麼運動後體重卻變得越來越重了？,142552,4610
慢跑一個月發生什麼事,85386,1945
愛漂亮▍還我緊肚皮！鬆垮不要來～,0,2625
06/04 單場預測 波士頓紅襪VS休士頓太空人,90,345
彈跳床＋攀岩。台中【Air-gene空氣基因彈翻健身育樂中心】—親子一起揮汗吧！,127473,5555
Argyll雅格瑞(體壇對沖) 實例介紹(三) 詐騙|騙局分析給你看|賺錢投資理財|增加收入(薪水)|被動(永續)收入,5330,2147
《MLB》美國職棒06/04賽事分析推薦(3場，純推薦，完成)--BY子乃花,76,2431
『逐鹿』炭火燒肉˙嘉義店,246464,2091
【廟會】台南五大香科-蜈蚣陣,24208,13441
2018世界男排國家聯賽第二週6/3賽事網路直播,577,1462
菜鳥第一次進健身房做什麼好?,44180,2165
"全球最著名的10大運動鞋品牌排行   nike,reebok,adidas......",71746,2794
[台北食記] 師大龍泉商圈： 師大夜市美食、餐廳攻略 (2018年更新),85853,3434
護膝知多少？護膝的挑選及功用 !!!,171273,1483
"[Agoda訂房攻略]新手訂房看這裡，Agoda訂房一次就上手：隱藏版特惠,折扣懶人包,A金卡回饋,海外手續費退款,訂貴退差價一次分享!",37211,7026
近日新寵 Jo Malone的愛用心得 與代購清單,419081,3941
關於我IG追蹤的隱藏版韓國正妹&#127472;&#127479;不定期新增。&#128149;(6/2更新）,12600,2836
語言交換的七種方法 ／  要怎麼認識外國人??? 7 ways to do Language exchange ＠愛莉莎莎,186703,5788
如何甩掉體脂肪系列～練出完美的大腿曲線,319410,2523
iPhone 與 iPad 使用 iMessage 傳訊息時，藍色與綠色有什麼差別呢？用那一種模式才是真正免費傳訊呢？,465478,1655
【精選譯文】四大愚蠢的心肺運動,31950,3858
《大叔優質好康團》非洲芒果輕孅茶飲 (Trim Tea),15295,2103
從論文到口試——研究生的畢業之路,3583,7054
自傳如何寫的較出色,89379,2346
要降體脂肪不是夢！近兩個月來的精選運動清單與飲食調整分享♥,42024,7180
基礎篇 - NBA球衣尺寸,187855,1711
30天減肥健身日記-完結篇（終於結束了）,38851,5572
孝順-千萬別請外勞! 如果你還沒搞懂找外勞前的注意事項!!,0,2989
痛風發作怎麼辦？症狀如何？,35075,3389
(桃園學游泳) 2018年7.8月(暑期) 游泳學習營  熱烈報名中,5529,5374
【活動】好買好逛的台北後站和《華陰街商圈》走九遍❤欲罷不能買不停．下篇❤,226228,3736
輕鬆看懂棒球統計數據──打擊數據篇,54332,8506
台灣有拳擊課程的道館 & 評語 (北部為主),74821,21558
內湖拜訪單車(Bikefun)刮傷 Wilier Cento 1的BB(五通)!!!,3274,1465
2018龍馬慢壘 春季聯賽第二週中平球場賽程表(06/10),318,596
