title,five,four,three,two,one
﹝食記: 劉山東牛肉麵﹞ 屹立開封街60餘年的人氣牛肉麵名店 l 台北 台北車站,2,1,4,3,0
[美食] 台北壽司郎 Sushiro之日本近500家分店的人氣平價迴轉壽司來台灣展店,2,6,6,4,3
台中-韓34韓國料理逢甲店。逢甲限定銅盤烤肉超便宜.還有各種小菜飲料白飯吃到飽.老闆根本是來做善事的阿.東西便宜又好吃。推薦!!,1,13,11,6,12
瑞穗臭豆腐┃台中小吃美食：原力行路雙十國中對面臭豆腐攤，外酥內軟湯汁四溢，湯品飲料無限供應，不管平日假日生意都很好,0,2,4,2,0
中壢｜福叁鍋物．鄰近中壢SOGO超強IG熱門活體海鮮單點鍋物/和牛/Prime牛/帝王蟹/波士頓龍蝦,1,4,5,4,5
【開封包公府的私房麵】雙連站美食 ★ 詢問度高&CP值高,0,5,4,7,4
[台中大甲]純粹綿綿冰 - 大甲新開幕綿綿冰專賣店，自家手工製冰，當季水果等食材新鮮製作，不添加色素香精，口味種類選擇多，拳頭般大的一球只賣20元而已，3球再特價50元。,4,11,8,2,3
婚禮新人們的湖水藍夢幻小甜點-His&Hers義式布丁,1,1,8,6,2
"【台灣壽司郎】台灣一號店,日本第一迴轉壽司『台湾スシロー 台灣壽司郎』,松葉蟹握壽司必吃!捷運台北車站",2,11,1,2,8
台中美食|肉多多火鍋美村店加大肉盤喜歡吃肉的朋友不要錯過(附完整菜單),0,4,8,0,5
香香燒肉工坊｜豐原燒烤吃到飽新開幕，近30種肉類海鮮無限量供應，超值海陸新鮮食材隨你點，野菜、沙拉、飲料、甜點通通吃到爽！,1,14,11,5,1
[食記/嘉義]南北越南小吃│夏天開胃好涼伴‧春卷我的愛,4,4,2,1,1
台南小吃 | 鴨母竂當歸鴨 雞肉飯。躲在傳統市場裡內的隱藏版無名老店，每日秒殺限量、晚來可就吃不到！,3,7,5,5,0
【鳳山五甲-禾雅時尚國際特賣會】萬國、GOBY等行李箱下殺600元起│冰山袋鼠女包通通990元│AIRWALK、HighSierra百貨包款最低$390起│其他還有OutdoorTeam等名牌包款通通1.8折│數量有限要搶要快,0,8,8,9,17
[中山站美食] 光一敘集-擁抱都市綠洲的靜美，讓人心醉的清新窗景！(附完整菜單MENU) 中山站咖啡廳/中山站下午茶/台北咖啡廳/台北下午茶/台北供wifi插座餐廳推薦,7,18,3,5,1
