title,five,four,three,two,one
【劇介+影評】電影—報告老師!怪怪怪怪物!(有雷慎入),2,3,1,1,0
[有雷劇介&心得]電影—報告老師！怪怪怪怪物！ ＜誰才是怪物？誰不是壞人？＞,0,3,15,11,0
【電影《與神同行》──別忘了這是地獄啊！】介紹、心得分析、經典台詞,0,6,16,8,0
報告老師！怪怪怪怪物！：劇情簡介＆人物介紹,1,2,6,8,1
瘋謎來看我吧 come to see me/nal borowayo (insane),0,2,5,4,0
【電影】還不快看！15部少女必看的浪漫愛情喜劇！,2,31,107,31,3
《血觀音》冷感無愛直到麻木不仁｜影評．心得,1,7,6,6,0
《極樂宿舍》，出社會前，就躲在宿舍吧。,2,8,15,8,1
《明日邊界》(Edge of Tomorrow) - 一看完就讓我想重看的片,3,4,11,7,2
【解凍屍篇｜Bluebeard】各懷鬼胎,2,7,16,5,4
[看影集學英文] 最夯美國影集(美劇)推薦及劇情提要(無雷) PART 2 (2018更新),3,10,48,18,0
悟空傳《Wukong》 ,1,3,7,6,1
會計師 The Accountant-畫作、音樂與電影：「勇者無敵」 自閉症關懷版,3,11,17,3,1
[電影] 我心目中的十大排名韓國電影推薦☞②,2,27,62,4,3
血紅帽,1,4,9,4,1
[電影心得]魍美 （有雷劇透）,0,11,16,6,0
[影評][韓國]★解冰/解凍屍篇해빙(2017)★漢江大橋下另一種令人戰慄的容貌,1,6,9,1,0
《夏日樂悠悠》：到熱帶島嶼戀愛度假吧！,5,13,10,2,0
心靈鑰匙‧not stop looking.,1,15,8,2,0
【影評】《七月與安生》青春的斷垣殘壁,10,10,11,4,0
[影評]逃出絕命鎮/Get Out(含暗黑結局) - 為什麼要逼我殺人? ,3,21,16,1,0
安潔莉娜裘莉 特務間諜 Angelina Jolie (Salt)觀後感,1,5,10,3,0
女人與鯊-絕鯊島〈The Shallows〉,1,17,5,5,1
孩子，這就是西部片→The Lone Ranger：獨行俠,7,23,22,3,0
{Drama)  漢娜的遺言 13 Reasons Why 第二季 (無雷&有雷) 影集心得+ 原聲帶推薦,6,19,24,0,0
【電影心得】鬼病院-靈異病院,4,13,17,2,2
《逃出絕命鎮》分析討論：請多準備幾副茶具,10,11,9,2,0
《犀利人妻最終回：幸福男．不難》：放手去愛，為愛冒險,0,8,14,0,0
真的回不去了  「犀利人妻最終回  幸福男。不難」,1,8,9,3,0
中華英雄 風雲再起,0,7,13,1,0
[影評] 安打先生 - 臭屁也要有本事,0,7,2,1,0
[影評] 哈利波特:死神的聖物(下)(Harry Potter and the Deathly Hallows - Part 2),10,40,23,16,0
"無腦笑點搞得我《一個頭兩個大》（Me, Myself & Irene）",2,5,2,1,0
