title,five,four,three,two,one
【劇介+影評】電影—報告老師!怪怪怪怪物!(有雷慎入),5,3,3,0,1
[有雷劇介&心得]電影—報告老師！怪怪怪怪物！ ＜誰才是怪物？誰不是壞人？＞,0,3,13,10,0
【電影《與神同行》──別忘了這是地獄啊！】介紹、心得分析、經典台詞,2,6,5,0,0
報告老師！怪怪怪怪物！：劇情簡介＆人物介紹,1,5,16,4,0
瘋謎來看我吧 come to see me/nal borowayo (insane),4,13,39,23,3
【電影】還不快看！15部少女必看的浪漫愛情喜劇！,16,32,135,73,28
《血觀音》冷感無愛直到麻木不仁｜影評．心得,5,18,81,55,8
《極樂宿舍》，出社會前，就躲在宿舍吧。,7,11,88,77,24
《明日邊界》(Edge of Tomorrow) - 一看完就讓我想重看的片,3,9,2,0,0
【解凍屍篇｜Bluebeard】各懷鬼胎,1,8,18,2,0
[看影集學英文] 最夯美國影集(美劇)推薦及劇情提要(無雷) PART 2 (2018更新),22,45,169,130,41
悟空傳《Wukong》 ,1,15,15,0,0
會計師 The Accountant-畫作、音樂與電影：「勇者無敵」 自閉症關懷版,6,18,92,48,11
[電影] 我心目中的十大排名韓國電影推薦☞②,13,53,205,83,5
血紅帽,1,4,23,14,0
[電影心得]魍美 （有雷劇透）,2,39,33,5,0
[影評][韓國]★解冰/解凍屍篇해빙(2017)★漢江大橋下另一種令人戰慄的容貌,3,20,27,2,0
《夏日樂悠悠》：到熱帶島嶼戀愛度假吧！,12,48,22,18,0
心靈鑰匙‧not stop looking.,7,39,29,3,0
【影評】《七月與安生》青春的斷垣殘壁,9,61,39,13,0
[影評]逃出絕命鎮/Get Out(含暗黑結局) - 為什麼要逼我殺人? ,9,43,32,4,0
安潔莉娜裘莉 特務間諜 Angelina Jolie (Salt)觀後感,4,13,22,1,0
女人與鯊-絕鯊島〈The Shallows〉,9,41,32,13,0
孩子，這就是西部片→The Lone Ranger：獨行俠,12,51,49,6,4
{Drama)  漢娜的遺言 13 Reasons Why 第二季 (無雷&有雷) 影集心得+ 原聲帶推薦,3,51,89,13,0
【電影心得】鬼病院-靈異病院,4,40,24,7,1
《逃出絕命鎮》分析討論：請多準備幾副茶具,6,46,25,7,0
《犀利人妻最終回：幸福男．不難》：放手去愛，為愛冒險,4,39,48,4,0
真的回不去了  「犀利人妻最終回  幸福男。不難」,10,29,12,6,0
中華英雄 風雲再起,4,23,33,6,2
[影評] 安打先生 - 臭屁也要有本事,1,8,5,0,0
[影評] 哈利波特:死神的聖物(下)(Harry Potter and the Deathly Hallows - Part 2),15,17,6,0,0
"無腦笑點搞得我《一個頭兩個大》（Me, Myself & Irene）",4,3,1,0,1
