[有雷劇介&心得]電影—報告老師！怪怪怪怪物！ ＜誰才是怪物？誰不是壞人？＞,0,3,15,11,0
小影評 / 哈利波特：混血王子的背叛　之其實是給看過小說的人看的　（雷很大雷不用錢,0,0,0,0,0
【電影《與神同行》──別忘了這是地獄啊！】介紹、心得分析、經典台詞,0,6,16,8,0
報告老師！怪怪怪怪物！：劇情簡介＆人物介紹,1,2,6,8,1
瘋謎來看我吧 come to see me/nal borowayo (insane),0,2,5,4,0
【電影】還不快看！15部少女必看的浪漫愛情喜劇！,2,31,107,31,3
《血觀音》冷感無愛直到麻木不仁｜影評．心得,1,7,6,6,0
《極樂宿舍》，出社會前，就躲在宿舍吧。,2,8,15,8,1
《明日邊界》(Edge of Tomorrow) - 一看完就讓我想重看的片,3,4,11,7,2
〈霍爾的移動城堡〉奧秘在哪裡？,0,0,0,0,0
【解凍屍篇｜Bluebeard】各懷鬼胎,2,7,16,5,4
【電影】Get Out！《逃出絕命鎮》12個看不見的隱藏含意,0,0,0,0,0
[看影集學英文] 最夯美國影集(美劇)推薦及劇情提要(無雷) PART 2 (2018更新),3,10,48,18,0
2017十大電影推薦！ ＆  2018上半年十大期待電影！,0,0,0,0,0
悟空傳《Wukong》 ,1,3,7,6,1
會計師 The Accountant-畫作、音樂與電影：「勇者無敵」 自閉症關懷版,3,11,17,3,1
[電影] 我心目中的十大排名韓國電影推薦☞②,2,27,62,4,3
血紅帽,1,4,9,4,1
線上電影免費看 | 瞞天過海：八面玲瓏 Ocean's 8,0,0,0,0,0
